date,open,high,low,close,volume
2025-08-04,19.57,19.94,19.5,19.88,1738260
2025-08-05,19.99,20.02,19.77,19.87,1138387
2025-08-06,19.81,20.25,19.78,20.16,1428032
2025-08-07,20.16,20.36,19.96,20.3,1317182
2025-08-08,20.36,20.7,20.3,20.54,1276510
2025-08-11,20.51,20.51,20.19,20.25,1409920
2025-08-12,20.22,20.56,20.14,20.3,1173534
2025-08-13,20.45,21.17,20.4,21.02,1858341
2025-08-14,21.03,21.53,20.97,21.17,1388152
2025-08-15,20.94,21.56,20.87,21.29,1709805
2025-08-18,21.3,21.37,20.8,20.8,2610953
2025-08-19,20.81,21.14,20.28,20.33,2352501
2025-08-20,20.33,20.57,20.19,20.56,1682986
2025-08-21,20.71,20.8,20.51,20.6,1286486
2025-08-22,20.65,20.76,20.45,20.66,1489955
2025-08-25,21.05,22.25,21.05,22.21,3063300
2025-08-26,22.19,22.55,21.96,22.39,1848831
2025-08-27,22.49,23.3,22.32,22.53,2388910
2025-08-28,22.54,22.89,22.21,22.52,1733705
2025-08-29,22.82,23.48,22.7,23.08,2504128
2025-09-01,23.9,24.65,23.41,24.38,3763218
2025-09-02,24.77,25.08,23.98,24.41,3438914
2025-09-03,25.1,25.51,24.39,24.94,3071908
