date,open,high,low,close,volume
2024-01-02,1850.00,1868.50,1845.20,1862.10,1234567
2024-01-03,1862.10,1875.80,1858.90,1871.45,987654
2024-01-04,1871.45,1885.20,1869.30,1878.60,1456789
2024-01-05,1878.60,1890.75,1876.40,1888.20,1123456
2024-01-08,1888.20,1895.60,1882.10,1889.80,1098765
2024-01-09,1889.80,1902.30,1887.50,1898.70,1345678
2024-01-10,1898.70,1905.40,1893.20,1901.50,1234567
2024-01-11,1901.50,1910.80,1899.60,1907.25,1087654
2024-01-12,1907.25,1915.60,1904.30,1912.40,1176543
2024-01-15,1912.40,1920.80,1908.90,1918.60,1265432
